headline,stock,date,publisher,url
JPM Announces Stock Buyback,JPM,2025-01-01 10:19:00,Reuters,https://finance.example.com/news/1982
Market Rally Lifts JPM Higher,JPM,2025-01-01 11:03:00,Wall Street Journal,https://finance.example.com/news/1944
META Hits All-Time High on Strong Earnings,META,2025-01-01 15:52:00,CNBC,https://finance.example.com/news/1029
PFE Beats Earnings Estimates,PFE,2025-01-01 19:43:00,InvestorPlace,https://finance.example.com/news/945
META Hits All-Time High on Strong Earnings,META,2025-01-02 12:49:00,CNBC,https://finance.example.com/news/67
Analysts Upgrade WMT to Buy,WMT,2025-01-02 13:44:00,Zacks,https://finance.example.com/news/1307
JPM Reports Record Quarterly Revenue,JPM,2025-01-02 18:13:00,Bloomberg,https://finance.example.com/news/456
AMZN Partners with Industry Leader,AMZN,2025-01-02 19:01:00,MarketWatch,https://finance.example.com/news/463
JPM Announces New Product Line,JPM,2025-01-03 12:15:00,Wall Street Journal,https://finance.example.com/news/909
PFE Misses Q3 Targets,PFE,2025-01-03 14:21:00,Wall Street Journal,https://finance.example.com/news/1664
TSLA Expands into New Markets,TSLA,2025-01-03 15:15:00,Wall Street Journal,https://finance.example.com/news/1337
AAPL Announces Stock Buyback,AAPL,2025-01-03 17:46:00,Wall Street Journal,https://finance.example.com/news/790
BAC Announces Stock Buyback,BAC,2025-01-04 08:55:00,Zacks,https://finance.example.com/news/1877
MSFT Hits All-Time High on Strong Earnings,MSFT,2025-01-04 09:59:00,Bloomberg,https://finance.example.com/news/1332
PFE Hits All-Time High on Strong Earnings,PFE,2025-01-04 10:19:00,Wall Street Journal,https://finance.example.com/news/275
Analysts Upgrade PFE to Buy,PFE,2025-01-04 10:52:00,InvestorPlace,https://finance.example.com/news/1731
GOOGL Reports Record Quarterly Revenue,GOOGL,2025-01-04 13:21:00,InvestorPlace,https://finance.example.com/news/537
AMZN Beats Earnings Estimates,AMZN,2025-01-04 13:38:00,MarketWatch,https://finance.example.com/news/1918
Analysts Upgrade PFE to Buy,PFE,2025-01-04 15:23:00,Wall Street Journal,https://finance.example.com/news/1032
BAC Hits All-Time High on Strong Earnings,BAC,2025-01-04 15:35:00,InvestorPlace,https://finance.example.com/news/502
PFE Shares Drop After Weak Guidance,PFE,2025-01-04 15:42:00,Financial Times,https://finance.example.com/news/765
AAPL Misses Q3 Targets,AAPL,2025-01-04 16:33:00,Bloomberg,https://finance.example.com/news/951
META Beats Earnings Estimates,META,2025-01-05 08:27:00,CNBC,https://finance.example.com/news/396
BAC Reports Record Quarterly Revenue,BAC,2025-01-05 19:27:00,MarketWatch,https://finance.example.com/news/1031
BAC CFO Steps Down,BAC,2025-01-06 08:07:00,Bloomberg,https://finance.example.com/news/1969
FDA Approves TSLA Drug Application,TSLA,2025-01-06 11:13:00,Wall Street Journal,https://finance.example.com/news/707
TSLA Beats Earnings Estimates,TSLA,2025-01-06 14:29:00,Zacks,https://finance.example.com/news/1266
TSLA Beats Earnings Estimates,TSLA,2025-01-06 17:15:00,CNBC,https://finance.example.com/news/919
JPM Partners with Industry Leader,JPM,2025-01-07 08:49:00,Wall Street Journal,https://finance.example.com/news/1047
AAPL Partners with Industry Leader,AAPL,2025-01-07 10:02:00,Zacks,https://finance.example.com/news/643
Insider Buying at WMT,WMT,2025-01-07 12:59:00,Financial Times,https://finance.example.com/news/624
BAC Shares Drop After Weak Guidance,BAC,2025-01-07 16:18:00,Zacks,https://finance.example.com/news/149
WMT Hits All-Time High on Strong Earnings,WMT,2025-01-07 18:16:00,Wall Street Journal,https://finance.example.com/news/864
JPM CFO Steps Down,JPM,2025-01-08 09:50:00,MarketWatch,https://finance.example.com/news/1054
JPM Hits All-Time High on Strong Earnings,JPM,2025-01-08 12:52:00,Wall Street Journal,https://finance.example.com/news/1854
MSFT Announces New Product Line,MSFT,2025-01-08 14:13:00,Financial Times,https://finance.example.com/news/1043
META Shares Drop After Weak Guidance,META,2025-01-08 16:35:00,Bloomberg,https://finance.example.com/news/1217
GOOGL Reports Record Quarterly Revenue,GOOGL,2025-01-08 18:34:00,CNBC,https://finance.example.com/news/147
FDA Approves BAC Drug Application,BAC,2025-01-09 08:18:00,Wall Street Journal,https://finance.example.com/news/140
Tech Sell-off Drags PFE Lower,PFE,2025-01-09 10:13:00,Bloomberg,https://finance.example.com/news/467
TSLA Reports Record Quarterly Revenue,TSLA,2025-01-09 12:50:00,Bloomberg,https://finance.example.com/news/338
JPM CFO Steps Down,JPM,2025-01-09 13:43:00,Bloomberg,https://finance.example.com/news/891
Market Rally Lifts META Higher,META,2025-01-09 15:08:00,MarketWatch,https://finance.example.com/news/1091
MSFT Partners with Industry Leader,MSFT,2025-01-09 18:12:00,Reuters,https://finance.example.com/news/1609
WMT Beats Earnings Estimates,WMT,2025-01-10 10:36:00,Financial Times,https://finance.example.com/news/1200
Insider Buying at GOOGL,GOOGL,2025-01-10 16:54:00,Financial Times,https://finance.example.com/news/1068
WMT Announces New Product Line,WMT,2025-01-10 17:45:00,CNBC,https://finance.example.com/news/1501
MSFT Shares Drop After Weak Guidance,MSFT,2025-01-10 19:30:00,InvestorPlace,https://finance.example.com/news/1441
Tech Sell-off Drags BAC Lower,BAC,2025-01-11 07:55:00,Bloomberg,https://finance.example.com/news/1513
FDA Approves BAC Drug Application,BAC,2025-01-11 14:37:00,Wall Street Journal,https://finance.example.com/news/1614
Analysts Upgrade AMZN to Buy,AMZN,2025-01-11 16:09:00,Wall Street Journal,https://finance.example.com/news/120
JPM Beats Earnings Estimates,JPM,2025-01-11 19:49:00,Reuters,https://finance.example.com/news/760
AAPL Beats Earnings Estimates,AAPL,2025-01-12 09:06:00,MarketWatch,https://finance.example.com/news/1041
WMT Announces Stock Buyback,WMT,2025-01-12 11:26:00,CNBC,https://finance.example.com/news/1383
BAC Partners with Industry Leader,BAC,2025-01-12 12:27:00,CNBC,https://finance.example.com/news/1696
Market Rally Lifts TSLA Higher,TSLA,2025-01-12 16:50:00,Reuters,https://finance.example.com/news/1816
AMZN Announces New Product Line,AMZN,2025-01-13 07:15:00,Zacks,https://finance.example.com/news/95
Analysts Upgrade AMZN to Buy,AMZN,2025-01-13 17:12:00,InvestorPlace,https://finance.example.com/news/79
BAC Beats Earnings Estimates,BAC,2025-01-13 19:30:00,CNBC,https://finance.example.com/news/1208
AMZN Shares Drop After Weak Guidance,AMZN,2025-01-14 10:10:00,MarketWatch,https://finance.example.com/news/722
META Announces New Product Line,META,2025-01-14 12:38:00,Wall Street Journal,https://finance.example.com/news/686
PFE Hits All-Time High on Strong Earnings,PFE,2025-01-15 08:02:00,MarketWatch,https://finance.example.com/news/380
Market Rally Lifts PFE Higher,PFE,2025-01-15 09:12:00,Financial Times,https://finance.example.com/news/1195
MSFT Expands into New Markets,MSFT,2025-01-15 09:59:00,Financial Times,https://finance.example.com/news/1935
AAPL Announces New Product Line,AAPL,2025-01-15 14:57:00,Reuters,https://finance.example.com/news/1221
BAC Misses Q3 Targets,BAC,2025-01-15 19:03:00,CNBC,https://finance.example.com/news/1534
Tech Sell-off Drags MSFT Lower,MSFT,2025-01-16 12:51:00,InvestorPlace,https://finance.example.com/news/638
MSFT CFO Steps Down,MSFT,2025-01-16 15:07:00,CNBC,https://finance.example.com/news/1774
